request_id,event_timestamp,processing_timestamp,endpoint,attempt_number,status,latency_ms,total_latency_ms,found,visited_count,runtime_ms,error_message
46,2025-12-26T15:54:18.318055,2025-12-26T15:54:18.326857,localhost:50051,1,SUCCESS,8.80,8.80,False,0,0.00,
47,2025-12-26T15:54:18.429424,2025-12-26T15:54:18.434412,localhost:50052,1,SUCCESS,4.99,4.99,False,0,0.00,
48,2025-12-26T15:54:18.540983,2025-12-26T15:54:18.545985,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
49,2025-12-26T15:54:18.648290,2025-12-26T15:54:18.655299,localhost:50052,1,SUCCESS,7.01,7.01,False,0,0.00,
50,2025-12-26T15:54:18.757980,2025-12-26T15:54:18.762883,localhost:50051,1,SUCCESS,4.90,4.90,False,0,0.00,
51,2025-12-26T15:54:18.868462,2025-12-26T15:54:18.876518,localhost:50052,1,SUCCESS,8.06,8.06,False,0,0.00,
52,2025-12-26T15:54:18.978614,2025-12-26T15:54:18.985612,localhost:50051,1,SUCCESS,7.00,7.00,False,0,0.00,
53,2025-12-26T15:54:19.087139,2025-12-26T15:54:19.094998,localhost:50052,1,SUCCESS,7.86,7.86,False,0,0.00,
54,2025-12-26T15:54:19.197069,2025-12-26T15:54:19.204666,localhost:50051,1,SUCCESS,7.60,7.60,False,0,0.00,
55,2025-12-26T15:54:19.307516,2025-12-26T15:54:19.315041,localhost:50052,1,SUCCESS,7.53,7.53,False,0,0.00,
56,2025-12-26T15:54:19.415229,2025-12-26T15:54:19.429239,localhost:50051,1,SUCCESS,14.01,14.01,False,0,0.00,
57,2025-12-26T15:54:19.523592,2025-12-26T15:54:19.529498,localhost:50052,1,SUCCESS,5.91,5.91,False,0,0.00,
58,2025-12-26T15:54:19.631206,2025-12-26T15:54:19.637101,localhost:50051,1,SUCCESS,5.89,5.89,False,0,0.00,
59,2025-12-26T15:54:19.739277,2025-12-26T15:54:19.744277,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
60,2025-12-26T15:54:19.848180,2025-12-26T15:54:19.857088,localhost:50051,1,SUCCESS,8.91,8.91,False,0,0.00,
61,2025-12-26T15:54:19.956355,2025-12-26T15:54:19.963709,localhost:50052,1,SUCCESS,7.35,7.35,False,0,0.00,
62,2025-12-26T15:54:20.066521,2025-12-26T15:54:20.075602,localhost:50051,1,SUCCESS,9.08,9.08,False,0,0.00,
63,2025-12-26T15:54:20.175077,2025-12-26T15:54:20.184082,localhost:50052,1,SUCCESS,9.00,9.00,False,0,0.00,
64,2025-12-26T15:54:20.283377,2025-12-26T15:54:20.291284,localhost:50051,1,SUCCESS,7.91,7.91,False,0,0.00,
65,2025-12-26T15:54:20.391150,2025-12-26T15:54:20.400018,localhost:50052,1,SUCCESS,8.87,8.87,False,0,0.00,
66,2025-12-26T15:54:20.498536,2025-12-26T15:54:20.504543,localhost:50051,1,SUCCESS,6.01,6.01,False,0,0.00,
67,2025-12-26T15:54:20.610080,2025-12-26T15:54:20.615086,localhost:50052,1,SUCCESS,5.01,5.01,False,0,0.00,
68,2025-12-26T15:54:20.718445,2025-12-26T15:54:20.726513,localhost:50051,1,SUCCESS,8.07,8.07,False,0,0.00,
69,2025-12-26T15:54:20.827115,2025-12-26T15:54:20.835001,localhost:50052,1,SUCCESS,7.89,7.89,False,0,0.00,
70,2025-12-26T15:54:20.935992,2025-12-26T15:54:20.942993,localhost:50051,1,SUCCESS,7.00,7.00,False,0,0.00,
71,2025-12-26T15:54:21.046183,2025-12-26T15:54:21.052180,localhost:50052,1,SUCCESS,6.00,6.00,False,0,0.00,
72,2025-12-26T15:54:21.156490,2025-12-26T15:54:21.164482,localhost:50051,1,SUCCESS,7.99,7.99,False,0,0.00,
73,2025-12-26T15:54:21.265038,2025-12-26T15:54:21.274114,localhost:50052,1,SUCCESS,9.08,9.08,False,0,0.00,
74,2025-12-26T15:54:21.374038,2025-12-26T15:54:21.382039,localhost:50051,1,SUCCESS,8.00,8.00,False,0,0.00,
75,2025-12-26T15:54:21.481636,2025-12-26T15:54:21.489663,localhost:50052,1,SUCCESS,8.03,8.03,False,0,0.00,
76,2025-12-26T15:54:21.591657,2025-12-26T15:54:21.596658,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
77,2025-12-26T15:54:21.702185,2025-12-26T15:54:21.707191,localhost:50052,1,SUCCESS,5.01,5.01,False,0,0.00,
78,2025-12-26T15:54:21.810808,2025-12-26T15:54:21.818878,localhost:50051,1,SUCCESS,8.07,8.07,False,0,0.00,
79,2025-12-26T15:54:21.920969,2025-12-26T15:54:21.925991,localhost:50052,1,SUCCESS,5.02,5.02,False,0,0.00,
80,2025-12-26T15:54:22.031571,2025-12-26T15:54:22.036557,localhost:50051,1,SUCCESS,4.99,4.99,False,0,0.00,
81,2025-12-26T15:54:22.140198,2025-12-26T15:54:22.148452,localhost:50052,1,SUCCESS,8.25,8.25,False,0,0.00,
82,2025-12-26T15:54:22.248476,2025-12-26T15:54:22.253341,localhost:50051,1,SUCCESS,4.86,4.86,False,0,0.00,
83,2025-12-26T15:54:22.359700,2025-12-26T15:54:22.365595,localhost:50052,1,SUCCESS,5.89,5.89,False,0,0.00,
84,2025-12-26T15:54:22.470124,2025-12-26T15:54:22.475093,localhost:50051,1,SUCCESS,4.97,4.97,False,0,0.00,
85,2025-12-26T15:54:22.577503,2025-12-26T15:54:22.585416,localhost:50052,1,SUCCESS,7.91,7.91,False,0,0.00,
86,2025-12-26T15:54:22.684967,2025-12-26T15:54:22.692863,localhost:50051,1,SUCCESS,7.90,7.90,False,0,0.00,
87,2025-12-26T15:54:22.795216,2025-12-26T15:54:22.803234,localhost:50052,1,SUCCESS,8.02,8.02,False,0,0.00,
88,2025-12-26T15:54:22.904851,2025-12-26T15:54:22.910900,localhost:50051,1,SUCCESS,6.05,6.05,False,0,0.00,
89,2025-12-26T15:54:23.014106,2025-12-26T15:54:23.023654,localhost:50052,1,SUCCESS,9.55,9.55,False,0,0.00,
90,2025-12-26T15:54:23.122796,2025-12-26T15:54:23.130015,localhost:50051,1,SUCCESS,7.22,7.22,False,0,0.00,
91,2025-12-26T15:54:23.231514,2025-12-26T15:54:23.240530,localhost:50052,1,SUCCESS,9.02,9.02,False,0,0.00,
92,2025-12-26T15:54:23.340160,2025-12-26T15:54:23.348946,localhost:50051,1,SUCCESS,8.79,8.79,False,0,0.00,
93,2025-12-26T15:54:23.449282,2025-12-26T15:54:23.457301,localhost:50052,1,SUCCESS,8.02,8.02,False,0,0.00,
94,2025-12-26T15:54:23.559049,2025-12-26T15:54:23.564054,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
95,2025-12-26T15:54:23.668347,2025-12-26T15:54:23.675402,localhost:50052,1,SUCCESS,7.05,7.05,False,0,0.00,
96,2025-12-26T15:54:23.776275,2025-12-26T15:54:23.784176,localhost:50051,1,SUCCESS,7.90,7.90,False,0,0.00,
97,2025-12-26T15:54:23.885884,2025-12-26T15:54:23.893737,localhost:50052,1,SUCCESS,7.85,7.85,False,0,0.00,
98,2025-12-26T15:54:23.993844,2025-12-26T15:54:24.001911,localhost:50051,1,SUCCESS,8.07,8.07,False,0,0.00,
99,2025-12-26T15:54:24.102850,2025-12-26T15:54:24.110754,localhost:50052,1,SUCCESS,7.90,7.90,False,0,0.00,
100,2025-12-26T15:54:24.212453,2025-12-26T15:54:24.221326,localhost:50051,1,SUCCESS,8.87,8.87,False,0,0.00,
101,2025-12-26T15:54:24.322910,2025-12-26T15:54:24.327896,localhost:50052,1,SUCCESS,4.99,4.99,False,0,0.00,
